label	GBP1	BRI3BP	OCIAD2	DTX3L
1	0.326360524	0.093150392	0.902297854	1.039503694
0	0.957094133	-0.220686853	-0.157753289	0.792473614
1	1.07369256	-0.09446454	0.609839797	1.172972918
0	1.768018961	-0.855429947	0.085003614	0.843210638
1	2.401635408	-0.194175318	1.880746007	1.315937638
0	0.604936063	-1.510790467	0.052309602	0.18118462
1	1.944871545	-0.074658446	0.37582311	1.299019217
0	0.692810893	-1.23631382	0.188158035	0.160563439
1	1.184333205	-0.005031899	0.720097899	1.364205718
0	0.23726815	-1.054347038	0.190291107	0.368989646
1	0.067748904	-0.472665548	0.152426794	1.439448833
0	0.549760878	-0.901814818	-0.136738315	0.449795425
1	2.078193665	0.470661402	2.815263748	1.078854561
0	0.428310513	-1.127161741	-0.36255759	0.366375804
1	1.121290088	-0.34305197	0.234048039	1.308103323
0	0.994478285	-0.241072237	0.070504457	1.162038088
1	0.472267032	-0.852166653	-0.289599061	0.560323119
0	2.023588181	-0.227976784	1.874231577	2.705968857
1	0.43560046	-0.340253741	-0.137932807	0.780552268
0	0.523780107	-0.714096904	-0.427788496	0.685898304
1	2.382807255	0.744313598	1.696270466	1.872141004
0	0.109686702	-1.238690138	0.616869569	0.488274395
1	2.020136595	1.035694242	1.911576629	2.714698792
0	0.354926407	-1.094727039	0.412794769	0.711469889
1	0.792449951	0.308688223	0.759210825	1.157894731
0	1.446165442	-0.92790103	0.589448988	0.866197705
1	1.16043663	-0.125324011	0.988085985	1.064446807
0	2.183472872	0.492752165	1.522038341	1.892150402
1	0.803215027	-0.48759833	0.442656636	0.805199027
0	0.514935613	-0.393042475	0.406388164	1.715685248
1	0.517356694	-0.23233968	0.938542128	1.055356264
0	0.214980781	-0.325838447	0.020676255	0.871423066
1	0.876483738	-0.483926952	-0.288872421	1.703723669
0	0.349339008	-0.857726812	0.047745168	0.920821905
1	0.789408267	0.053879671	0.814323783	1.941027761
0	0.09496814	-0.615139902	0.891283453	1.460994482
1	1.009197116	-0.206712782	0.283543885	1.827813148
0	0.509802401	-1.422973633	-0.246913135	1.136333227
1	3.158197165	-0.110768385	-0.029938988	1.534964204
0	0.563258827	-0.943582475	-0.226953924	1.383582354
1	0.435523808	1.117907286	1.592005134	1.763022184
