label	ITGB6	MCM2	TNC	TAP2	TMEM164
1	2.425533056	-0.555255771	2.764170408	2.383737326	-0.757731318
0	0.404635727	-1.391888022	1.047819257	0.634707868	-0.416146517
1	3.238819122	-0.98980248	2.740317822	1.562548518	0.720377564
0	0.596450686	-1.240313768	0.756555676	0.647278309	-0.525528908
1	2.345089436	-0.219236866	2.453460932	1.265248299	0.23801516
0	1.222113252	-1.2199862	1.760204673	0.83956188	0.006887525
1	4.214796066	0.089505017	2.754211903	2.135494709	0.071854293
0	2.081470966	-1.095382214	1.322155952	0.949263811	-0.381097257
1	3.575591564	-0.648017287	2.664321423	2.112901926	0.047816217
0	0.827051878	-1.148260593	0.753478944	0.522354245	-0.579099894
1	1.851563454	-0.248973578	2.843365669	0.953286886	0.255785048
0	0.958620846	-1.216325521	1.284683943	1.311857462	0.035821915
1	2.275884867	-0.798868299	2.337201118	1.072314262	0.827616036
0	1.096270323	-0.936051667	1.031343937	2.142601252	-0.269917548
1	3.892362118	0.011495247	2.041516304	2.925956726	1.231509447
0	0.66558516	-1.458953261	2.383391142	0.680811167	-1.262601733
1	1.078791142	-1.023068547	1.106447458	1.845476031	-0.129849285
0	0.669125915	-1.588405848	1.458983779	0.51830703	-1.700572252
1	2.246473551	-0.457129955	2.957224607	1.243246198	0.618084431
0	0.542878628	-1.621114492	2.672810316	0.765574694	-1.849845648
1	0.556940556	-0.57666105	0.176280022	0.888587117	1.652362823
0	0.91090858	-1.044756413	0.383260876	1.192248344	-0.81287086
1	2.872344255	-0.199457571	1.40224421	2.303920984	0.28597188
0	0.464064956	-0.941791713	1.658374429	0.361491621	-1.384019136
1	2.430749178	-0.258537233	1.309611797	1.146310568	-0.27912873
0	2.071011305	-0.794054389	2.057226658	1.054425716	-0.88036406
1	1.117232442	-0.879418015	1.672753215	0.438850045	-1.115906835
0	3.812979698	1.022490859	2.671669722	1.391901851	-0.032871559
1	0.775024116	-1.078338623	1.823068261	0.761363387	-0.418829113
0	0.807777405	-1.127932787	1.244526148	0.376094997	-1.437276363
1	3.105444193	-0.017763749	1.955693841	1.54122889	0.115111567
0	0.275676817	-1.56318295	0.751932681	0.606458664	-0.612037301
1	4.272132397	-0.182318062	1.255360246	1.686009645	1.014147282
0	0.74166733	-1.371946335	1.044758677	0.643877387	-1.085953474
1	0.906170428	-0.372172773	2.41865015	1.106423855	-0.023426369
0	0.706294358	-1.553243399	1.250914335	1.306003094	-0.343689799
1	1.604479074	-0.601262867	2.42244029	1.189749241	-0.645528734
0	2.067932367	-0.162749022	2.459174633	1.613578796	0.695374548
1	1.080698133	-1.438147426	1.526237369	0.901456535	-0.068582386
0	2.549305439	-0.513611257	2.93739748	0.986233413	0.381996989
